transformedRefValM[
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
0.00	0.20	0.80	
0.00	0.60	0.40	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
0.00	0.20	0.80	
0.00	0.60	0.40	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
1.00	0.00	0.00	
0.00	1.00	0.00	
0.00	1.00	0.00	
0.20	0.80	0.00	
0.20	0.80	0.00	
0.20	0.80	0.00	
0.60	0.40	0.00	
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
0.00	0.20	0.80	
0.00	0.60	0.40	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
0.00	0.20	0.80	
0.00	0.60	0.40	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
0.00	0.20	0.80	
0.00	0.60	0.40	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.00	1.00	
0.00	0.80	0.20	
0.00	0.00	1.00	
0.00	0.40	0.60	
]
transformedRefValM[
0.00	1.00	0.00	
0.00	1.00	0.00	
1.00	0.00	0.00	
0.60	0.40	0.00	
0.80	0.20	0.00	
1.00	0.00	0.00	
0.20	0.80	0.00	
1.00	0.00	0.00	
0.20	0.80	0.00	
0.00	1.00	0.00	
0.00	1.00	0.00	
0.40	0.60	0.00	
0.20	0.80	0.00	
0.60	0.40	0.00	
1.00	0.00	0.00	
0.60	0.40	0.00	
0.80	0.20	0.00	
0.00	1.00	0.00	
0.60	0.40	0.00	
0.80	0.20	0.00	
0.60	0.40	0.00	
0.20	0.80	0.00	
0.00	1.00	0.00	
1.00	0.00	0.00	
1.00	0.00	0.00	
0.80	0.20	0.00	
1.00	0.00	0.00	
1.00	0.00	0.00	
0.80	0.20	0.00	
0.20	0.80	0.00	
0.40	0.60	0.00	
0.80	0.20	0.00	
