x23,x22,x08,x17,x18,x16,x15,x14,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07
9.00,90.00,0.50,19.00,0.50,9.00,99.06,8.38,100.00,32.00,0.10,0.40,1.10,18.00,0.50,0.50,1.10,1.00,1.00,0.90,0.60,1.10,91.44
3.50,35.00,0.90,14.00,0.50,15.00,91.44,9.14,77.00,26.00,0.50,0.10,0.60,14.00,0.50,0.50,0.70,1.00,0.00,1.00,1.00,0.70,45.72
2.50,25.00,0.90,17.00,1.00,8.00,76.20,7.62,89.00,30.00,0.00,0.50,0.70,16.00,0.20,0.60,0.60,1.00,0.00,1.10,0.80,1.00,54.86
7.50,75.00,0.50,16.00,0.80,8.00,83.82,6.10,91.00,29.00,0.30,0.00,0.80,11.00,0.20,0.40,0.80,1.00,0.00,0.70,0.60,0.90,54.86
3.50,35.00,0.70,18.00,0.90,10.00,68.58,8.38,93.00,30.00,0.50,0.30,0.90,12.00,0.00,0.60,0.60,1.00,1.00,0.60,0.60,0.70,36.58
9.00,90.00,0.80,14.00,1.00,12.00,91.44,9.91,98.00,28.00,0.20,0.20,0.70,19.00,0.30,0.50,0.80,1.00,0.00,0.90,0.80,0.70,45.72
5.50,55.00,0.90,14.93,0.60,14.00,83.82,6.10,105.00,25.00,0.50,0.50,0.60,13.00,0.40,0.50,0.80,1.00,0.00,0.60,0.90,0.90,91.44
11.00,110.00,0.90,14.53,1.00,13.00,76.20,6.86,84.00,25.00,0.00,0.20,1.10,18.00,0.30,0.60,1.10,1.00,0.00,0.60,1.10,0.80,54.86
3.50,35.00,0.50,14.13,0.60,10.00,99.06,8.38,102.00,30.00,0.50,0.30,0.80,14.00,0.30,0.50,1.10,1.00,1.00,0.60,0.90,0.90,45.72
